customer_id,name,email,age,order_amount,signup_date,is_premium,region
1,Customer_1,customer1@example.com,39.0,162.94,2024-01-01,True,North
2,Customer_2,customer2@example.com,34.0,187.54,2024-01-03,False,West
3,Customer_3,customer3@example.com,40.0,33.43,2024-01-05,False,West
4,Customer_4,customer4@example.com,47.0,4200.0,2024-01-07,False,South
5,Customer_5,,33.0,181.8,2024-01-09,False,North
6,Customer_6,customer6@example.com,33.0,241.99,2024-01-11,False,North
7,Customer_7,customer7@example.com,48.0,199.27,2024-01-13,False,North
8,Customer_8,customer8@example.com,41.0,64.11,2024-01-15,False,West
9,Customer_9,customer9@example.com,31.0,103.44,2024-01-17,False,North
10,Customer_10,customer10@example.com,39.0,509.74,2024-01-19,False,East
11,Customer_11,customer11@example.com,31.0,17.36,2024-01-21,False,North
12,Customer_12,customer12@example.com,31.0,84.65,2024-01-23,False,East
13,Customer_13,customer13@example.com,37.0,262.86,2024-01-25,False,East
14,Customer_14,customer14@example.com,20.0,67.75,2024-01-27,False,West
15,Customer_15,customer15@example.com,21.0,203.02,2024-01-29,True,North
16,Customer_16,customer16@example.com,31.0,129.46,2024-01-31,False,North
17,Customer_17,customer17@example.com,27.0,71.93,2024-02-02,False,North
18,Customer_18,customer18@example.com,38.0,13.58,2024-02-04,False,West
19,Customer_19,customer19@example.com,28.0,143.94,2024-02-06,False,West
20,Customer_20,customer20@example.com,24.0,62.9,2024-02-08,False,East
21,Customer_21,customer21@example.com,47.0,114.22,2024-02-10,True,East
22,Customer_22,customer22@example.com,33.0,180.55,2024-02-12,False,East
23,Customer_23,customer23@example.com,36.0,228.96,2024-02-14,False,North
24,Customer_24,customer24@example.com,24.0,84.42,2024-02-16,False,West
25,Customer_25,customer25@example.com,31.0,71.81,2024-02-18,True,South
26,Customer_26,customer26@example.com,36.0,38.35,2024-02-20,False,South
27,Customer_27,customer27@example.com,,236.6,2024-02-22,False,South
28,Customer_28,customer28@example.com,38.0,463.63,2024-02-24,False,North
29,Customer_29,customer29@example.com,30.0,253.99,2024-02-26,False,North
30,Customer_30,customer30@example.com,,292.17,2024-02-28,False,East
31,Customer_31,customer31@example.com,30.0,68.24,2024-03-01,True,North
32,Customer_32,customer32@example.com,50.0,173.09,2024-03-03,False,East
33,Customer_33,customer33@example.com,35.0,216.01,2024-03-05,True,North
34,Customer_34,customer34@example.com,27.0,49.74,2024-03-07,False,South
35,Customer_35,customer35@example.com,42.0,359.04,2024-03-09,True,North
36,Customer_36,customer36@example.com,25.0,31.37,2024-03-11,False,South
37,Customer_37,customer37@example.com,37.0,322.92,2024-03-13,False,East
38,Customer_38,customer38@example.com,19.0,31.15,2024-03-15,False,North
39,Customer_39,customer39@example.com,24.0,52.02,2024-03-17,False,East
40,Customer_40,customer40@example.com,37.0,175.29,2024-03-19,False,South
41,Customer_41,,41.0,131.88,2024-03-21,True,East
42,Customer_42,customer42@example.com,36.0,91.28,2024-03-23,False,West
43,Customer_43,customer43@example.com,34.0,350.04,2024-03-25,True,East
44,Customer_44,customer44@example.com,33.0,39.37,2024-03-27,False,North
45,Customer_45,customer45@example.com,23.0,110.87,2024-03-29,False,North
46,Customer_46,customer46@example.com,29.0,191.05,2024-03-31,True,North
47,Customer_47,customer47@example.com,31.0,154.23,2024-04-02,True,East
48,Customer_48,customer48@example.com,43.0,3899.5,2024-04-04,False,North
49,Customer_49,customer49@example.com,38.0,76.18,2024-04-06,False,South
50,Customer_50,customer50@example.com,21.0,226.63,2024-04-08,False,East
51,Customer_51,customer51@example.com,38.0,233.9,2024-04-10,False,South
52,Customer_52,customer52@example.com,32.0,157.18,2024-04-12,False,East
53,Customer_53,customer53@example.com,30.0,60.69,2024-04-14,True,North
54,Customer_54,customer54@example.com,40.0,78.23,2024-04-16,False,North
55,Customer_55,customer55@example.com,43.0,122.99,2024-04-18,True,East
56,Customer_56,customer56@example.com,42.0,136.71,2024-04-20,False,South
57,Customer_57,customer57@example.com,28.0,185.81,2024-04-22,False,East
58,Customer_58,customer58@example.com,33.0,106.43,2024-04-24,False,South
59,Customer_59,customer59@example.com,38.0,223.16,2024-04-26,False,North
60,Customer_60,customer60@example.com,43.0,221.47,2024-04-28,False,West
61,Customer_61,customer61@example.com,31.0,298.8,2024-04-30,True,East
62,Customer_62,customer62@example.com,34.0,127.04,2024-05-02,False,East
63,Customer_63,customer63@example.com,26.0,159.09,2024-05-04,False,North
64,Customer_64,customer64@example.com,25.0,112.82,2024-05-06,False,East
65,Customer_65,customer65@example.com,42.0,61.33,2024-05-08,True,South
66,Customer_66,customer66@example.com,46.0,456.76,2024-05-10,False,North
67,Customer_67,customer67@example.com,34.0,274.01,2024-05-12,False,West
68,Customer_68,customer68@example.com,43.0,218.39,2024-05-14,False,North
69,Customer_69,customer69@example.com,38.0,123.82,2024-05-16,False,West
70,Customer_70,customer70@example.com,30.0,56.7,2024-05-18,False,South
71,Customer_71,customer71@example.com,38.0,245.18,2024-05-20,False,North
72,Customer_72,customer72@example.com,47.0,111.3,2024-05-22,True,South
73,Customer_73,customer73@example.com,35.0,169.4,2024-05-24,False,West
